id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,ath,ath_date,atl,atl_date,is_10x,days_between,screen_name
bitcoin,btc,Bitcoin,95582.0,1894328493304.0,1.0,1894328493304.0,14760799283.0,19828093.0,19828093.0,21000000.0,108786.0,2025-01-20 09:11:54.494000+00:00,67.81,2013-07-06 00:00:00+00:00,True,4216.0,bitcoin
ethereum,eth,Ethereum,2788.71,336087743627.0,2.0,336087743627.0,19038667709.0,120568910.1126746,120568910.1126746,,4878.26,2021-11-10 14:24:19.604000+00:00,0.432979,2015-10-20 00:00:00+00:00,True,2213.0,ethereum
ripple,xrp,XRP,2.53,146562082901.0,3.0,253148611828.0,1972185888.0,57887806032.0,99986418374.0,100000000000.0,3.4,2018-01-07 00:00:00+00:00,0.00268621,2014-05-22 00:00:00+00:00,True,1326.0,Ripple
binancecoin,bnb,BNB,650.26,94801976121.0,5.0,94801976121.0,869784197.0,145887575.79,145887575.79,200000000.0,788.84,2024-12-04 10:35:25.220000+00:00,0.0398177,2017-10-19 00:00:00+00:00,True,2603.0,binance
solana,sol,Solana,167.33,81768294881.0,6.0,99495270856.0,1841055182.0,488727828.2003426,594681688.2078243,,293.31,2025-01-19 11:15:27.957000+00:00,0.500801,2020-05-11 19:35:23.449000+00:00,True,1713.0,solana
dogecoin,doge,Dogecoin,0.241924,35764431904.0,8.0,35790952554.0,724365352.0,148057346383.7052,148167136383.7052,,0.731578,2021-05-08 05:08:23.458000+00:00,8.69e-05,2015-05-06 00:00:00+00:00,True,2194.0,dogecoin
cardano,ada,Cardano,0.763052,27431255447.0,9.0,34359810614.0,442538867.0,35925881809.40407,45000000000.0,45000000000.0,3.09,2021-09-02 06:00:10.474000+00:00,0.01925275,2020-03-13 02:22:55.044000+00:00,True,538.0,Cardano_CF
staked-ether,steth,Lido Staked Ether,2783.05,26179661868.0,10.0,26179661868.0,35600545.0,9415220.796860136,9415220.796860136,,4829.57,2021-11-10 14:40:47.256000+00:00,482.9,2020-12-22 04:08:21.854000+00:00,True,323.0,lidofinance
tron,trx,TRON,0.243781,20970602992.0,11.0,20970609878.0,511550487.0,86083508351.93628,86083536621.9285,,0.431288,2024-12-04 00:10:40.323000+00:00,0.00180434,2017-11-12 00:00:00+00:00,True,2579.0,trondao
wrapped-bitcoin,wbtc,Wrapped Bitcoin,95664.0,12350779408.0,12.0,12350779408.0,222514418.0,129138.42002211,129138.42002211,129138.42002211,108368.0,2025-01-20 07:16:27.137000+00:00,3139.17,2019-04-02 00:00:00+00:00,True,2120.0,WrappedBTC
